100 8149
33 42 15228
70 84 233
63 71 6922
30 15 20234
94 71 31331
51 82 32162
39 98 7014
73 66 6794
22 10 13520
44 84 15846
56 80 19714
38 68 11523
91 86 19572
93 75 7089
15 6 17963
25 48 21855
52 51 23053
62 98 27034
25 78 26602
77 19 12231
3 61 23441
26 31 9259
98 31 31053
66 3 21664
6 97 3996
89 27 23940
78 5 7673
11 36 26568
22 34 10779
85 38 16175
22 90 29680
49 82 1041
76 91 20025
98 25 15941
13 74 25759
76 26 16920
3 13 31112
38 1 22541
89 94 28978
20 72 25060
90 73 19018
20 47 11561
18 99 17433
78 63 1736
10 26 17776
72 4 25892
63 88 10104
49 13 22595
25 72 30372
67 60 20839
50 52 30920
68 82 2674
25 56 29637
18 65 10969
78 64 12875
70 9 2847
0 31 11424
22 62 30986
67 54 6506
85 2 28172
49 33 3824
96 11 5791
90 74 22353
20 1 9340
51 34 15000
92 99 32509
42 48 22471
39 6 19459
61 92 16927
93 18 20792
42 18 2642
34 22 8334
94 77 13164
93 97 13373
42 38 24971
93 61 23989
46 42 25794
29 71 2110
45 10 11453
74 32 6975
80 89 16893
59 1 4446
27 6 10180
15 58 28918
59 39 5646
75 53 1949
64 94 23844
10 46 28076
3 61 3252
67 54 14341
47 1 13928
91 63 11661
24 40 26747
42 31 8981
36 77 22205
46 23 7079
73 67 10490
31 90 17517
37 68 7119
28 47 10934
81 5 7496
25 14 28603
35 67 24802
58 84 4404
90 71 7871
83 33 28389
41 6 24627
23 58 21664
42 75 28660
82 86 19831
88 60 20112
46 58 12302
7 13 31733
66 63 32078
91 47 3381
1 10 8687
74 69 29125
5 87 16517
61 38 3561
96 67 11553
22 45 30740
36 28 1183
70 45 17753
65 87 6457
98 81 30019
56 80 6902
39 21 18356
22 87 16513
69 35 17376
39 31 27901
45 27 9468
78 66 24277
74 91 27596
53 54 32634
52 1 25287
2 5 29711
67 51 7829
75 88 30609
92 78 5250
87 10 26401
98 26 4982
11 46 17984
35 68 25005
10 58 24356
62 21 20640
95 48 1904
73 10 1501
48 0 3058
11 46 21189
68 54 26165
53 33 3687
4 21 13575
12 10 19434
79 73 3398
31 88 19791
66 87 10900
23 78 1389
1 33 24506
65 67 11634
56 5 29925
59 27 12628
61 91 30213
9 63 21490
21 3 24052
42 92 14040
99 30 6961
8 40 15074
0 87 12621
10 73 17969
26 42 18016
64 31 12594
34 3 20003
5 89 16291
3 51 19585
91 61 27612
80 40 26547
19 43 14792
67 95 18001
54 88 5199
71 35 4057
51 61 13087
92 46 26261
23 81 27
65 69 26608
25 45 15061
48 86 15509
15 10 32221
84 41 5102
55 42 7378
3 55 7899
95 53 25453
52 85 19390
53 81 23815
46 27 14892
77 0 18758
86 85 9952
5 51 3574
46 50 199
2 95 7989
2 40 32319
83 27 20097
2 4 30172
34 27 1605
49 11 82
42 47 31479
57 83 4431
48 45 7146
68 24 21365
72 12 23899
31 7 14254
79 98 8811
68 30 25225
31 94 26871
86 15 623
96 40 12948
98 93 12233
20 81 19745
63 54 21613
65 22 25244
17 69 18927
47 61 27467
26 19 30373
29 8 3668
50 59 16263
11 71 31824
70 89 14636
5 38 11409
7 84 11409
80 29 28925
25 38 21620
59 29 24026
44 1 15966
7 66 23006
4 49 1727
90 6 8277
98 2 18851
45 10 25163
58 9 10722
49 53 21743
50 61 20194
14 29 10929
86 24 15679
76 29 458
85 54 2298
75 74 3620
78 85 8188
75 31 32235
91 69 25099
34 82 7973
31 30 30600
92 33 29219
97 16 27279
29 1 26544
45 49 32335
8 58 7958
98 57 18490
28 73 9190
44 12 8429
12 82 24178
63 37 9702
60 63 24962
87 83 20503
51 61 1034
22 25 6268
31 16 14648
37 8 9067
39 69 13779
31 73 3964
24 38 20501
38 47 1672
8 87 838
17 49 5236
21 14 21181
79 32 6852
29 31 27
3 1 18730
7 0 14030
19 13 8833
22 23 840
21 82 4873
64 98 13940
85 29 18354
78 75 17980
58 79 8145
28 77 25165
34 55 2472
47 83 24664
28 91 12153
72 40 25982
49 96 24097
23 17 23214
52 97 20328
53 6 22549
59 78 20882
88 57 22525
26 57 29396
16 7 15265
53 10 12979
62 78 3307
23 25 5241
15 46 32272
76 84 5451
8 55 1156
98 11 19838
35 14 7880
83 41 14397
81 54 27890
32 1 3492
70 77 21000
13 44 6867
96 4 26750
12 93 24752
7 65 15999
7 71 19785
94 74 7878
94 31 27929
88 45 12589
69 24 18588
66 63 2624
75 43 6133
16 66 25465
11 4 22932
34 27 15855
69 0 31264
25 47 12179
89 12 27407
13 34 8035
55 89 4782
47 22 20236
60 75 15248
12 3 20726
26 38 25235
46 37 32691
5 39 18951
1 70 18500
61 95 23953
13 80 10930
41 10 1505
65 60 19690
31 19 23649
20 72 27112
35 22 3667
85 23 23427
88 40 31780
43 80 1928
45 36 3298
52 23 10464
22 86 5899
96 5 21490
86 26 30518
23 99 16774
84 94 16965
94 83 28112
58 28 17439
78 58 365
30 71 32040
30 58 22644
78 89 24552
85 92 24565
23 78 32163
35 67 31857
14 50 27611
25 80 19500
84 18 17891
85 40 28279
41 2 5396
88 13 5438
70 14 28484
54 30 6259
72 51 3721
98 80 6972
42 55 22138
11 45 8423
90 76 31321
39 43 17425
71 1 5375
65 43 11398
58 39 20053
18 55 28864
0 13 29630
76 93 22035
17 65 32716
58 46 28386
75 55 17153
99 91 30842
6 64 666
18 33 8799
49 57 17304
34 59 10031
32 65 26483
9 24 25452
59 84 3402
84 72 28871
55 19 9579
1 18 19653
69 25 7808
80 31 18388
34 63 23241
49 50 30250
1 43 303
77 6 11780
52 16 4365
60 19 22302
42 92 12549
49 36 32124
84 93 20543
87 80 19934
94 14 11992
19 52 27762
66 4 3449
25 48 1696
81 59 27979
27 57 9993
35 6 16567
27 16 16141
15 38 705
83 77 7024
56 53 11741
51 33 8703
97 44 19590
72 10 21565
26 89 11529
41 73 14207
2 62 28475
17 66 32006
44 78 32282
38 24 9465
48 0 24706
46 62 27969
42 29 29568
47 99 14785
9 31 26090
64 81 21853
41 61 69
26 79 970
35 63 13597
41 96 27168
28 48 30043
76 71 26788
68 19 8519
78 65 10819
37 31 31272
75 9 32438
13 25 457
23 85 6731
79 35 3151
65 2 8893
14 21 15902
87 95 4778
27 37 4800
37 88 1413
41 8 11020
91 50 31765
72 67 20482
84 35 11749
38 68 9487
24 69 5671
28 63 16318
71 10 11008
15 67 5122
45 29 9271
88 31 11151
95 0 29369
27 50 17422
82 19 7285
20 54 777
77 6 10358
17 83 16343
98 54 13643
3 79 17159
67 71 18458
51 89 6117
7 35 27890
96 24 30776
96 22 28988
4 58 17232
7 16 26450
25 65 10476
92 55 20139
94 77 1455
41 59 15903
95 5 12826
3 21 22055
42 38 1601
9 0 7984
19 28 25525
90 59 23640
94 92 1117
44 64 21794
72 82 26672
62 92 14610
28 97 21782
44 75 5677
69 95 17231
52 43 30667
0 11 5682
91 83 13637
56 68 29744
89 11 20572
16 81 16973
14 50 4468
91 9 1689
39 92 25591
45 59 4681
24 42 24438
86 95 8066
55 35 31337
25 55 22520
35 64 10646
54 96 20709
13 76 15248
88 17 15884
67 10 8648
53 50 16581
42 32 8478
24 6 6462
53 56 8710
50 29 28540
96 47 7311
9 83 14013
9 65 30446
63 51 10568
75 23 11623
72 11 21465
16 53 20636
48 0 28440
63 10 25520
49 55 10991
11 62 30149
37 17 25235
69 75 2739
51 4 16790
84 72 5396
11 54 361
50 95 30709
95 34 25611
75 94 20680
36 33 15326
45 37 14964
74 28 31194
36 87 24718
81 25 12947
76 51 9763
76 79 8142
79 20 26012
48 38 10135
45 86 30626
39 31 13082
23 58 19726
90 44 28333
86 90 3137
72 32 14791
43 10 23684
73 95 26846
40 58 27191
90 49 21600
7 95 17659
61 18 22338
19 29 5407
77 85 9436
14 41 22508
36 55 4362
25 85 27315
39 13 22219
44 16 15010
56 22 26833
8 95 971
25 50 13508
26 63 13280
60 96 19748
30 84 21911
13 72 30477
40 90 28595
95 30 28750
84 58 3867
77 3 14220
47 84 21907
80 15 873
5 54 28395
66 50 14061
59 26 19649
25 78 20641
28 29 3368
11 21 24340
59 32 2779
94 76 16586
50 53 21947
60 57 11973
74 77 18627
45 80 16129
86 83 18495
78 77 8400
30 54 19712
44 17 27698
93 39 4356
52 35 21974
22 27 10981
9 52 10907
28 49 32607
6 11 7071
12 17 3097
53 35 24037
34 5 19995
96 14 31192
20 4 9914
89 2 350
56 54 7397
62 78 25398
64 99 21002
91 90 18641
41 42 18715
14 19 26609
23 94 853
88 96 932
26 59 18901
34 15 4227
63 88 3107
67 83 7732
73 81 23348
10 55 23713
55 84 1438
33 20 23917
87 10 1258
1 74 8826
37 40 5445
54 64 12460
60 85 18442
48 2 18990
45 95 30418
3 29 13784
50 83 17
3 96 8593
3 88 30568
81 41 19390
53 98 17203
95 35 17440
75 42 19968
64 87 20141
62 87 19946
24 13 21315
14 30 32021
92 60 23378
25 13 17852
24 65 31429
26 77 10638
25 22 13269
64 38 24396
20 44 32144
59 79 4843
81 74 9011
13 42 13219
54 2 18093
92 41 6323
58 0 31454
88 91 20671
59 60 14970
64 38 31004
28 50 1682
13 40 20828
74 4 17452
82 61 13563
16 73 4729
2 57 2050
72 8 23432
22 68 17647
58 56 24450
72 2 2383
74 26 32477
89 68 3016
45 13 8702
75 5 8581
60 23 23876
83 96 12861
49 33 26236
84 46 342
96 22 11547
23 12 22478
96 74 30949
44 77 11758
63 56 27326
71 54 10368
79 14 21809
3 65 10290
27 24 7502
7 9 30788
61 60 21799
66 78 29255
70 37 1742
31 4 18181
32 69 31148
88 44 3089
10 60 14677
73 21 15016
52 14 29679
27 43 27914
93 84 11954
86 97 9110
21 73 13360
49 41 11592
23 29 29548
39 27 1911
15 96 6115
90 6 14039
15 12 16915
6 71 20529
74 66 17702
67 13 12629
39 35 31178
77 11 23331
33 0 24420
52 32 974
18 80 27433
45 58 13490
63 30 24358
74 65 14557
23 39 19289
82 80 9670
77 18 10886
71 22 10008
88 94 16488
53 7 5646
56 33 14401
12 66 28643
87 50 2509
63 31 19894
59 62 21193
76 89 6806
4 74 24017
66 67 12219
50 23 16199
42 22 26648
38 78 22383
32 66 29630
36 91 13593
33 60 2258
47 81 22119
82 46 21255
56 29 11662
49 3 979
69 67 11684
44 85 29911
36 35 2016
38 2 15167
18 62 15312
7 81 9715
46 19 15729
26 11 14844
83 3 18996
61 84 10093
86 96 8777
54 28 13983
41 24 17144
69 72 28544
5 12 16017
60 12 5947
0 14 18130
10 22 25698
86 91 14277
28 64 4538
24 18 17854
67 48 22270
4 0 10018
52 79 24314
51 19 10271
1 14 19882
61 10 14921
24 98 4393
51 77 27478
19 96 20123
55 6 21865
16 30 6234
45 78 24754
6 44 19714
46 27 24908
58 73 5952
85 76 3484
15 37 5220
16 59 18596
74 25 15403
40 99 6402
37 52 20026
2 70 12438
72 38 23106
95 72 29187
39 2 32201
39 71 14471
8 11 16129
5 30 7132
27 25 3650
39 70 19750
59 61 32757
2 97 19218
21 78 20252
12 24 23225
85 80 15543
21 40 16353
2 59 31409
8 77 27308
63 78 4390
83 33 2531
40 29 8983
39 98 30806
77 64 13288
14 35 8452
26 68 8513
39 50 2317
51 14 32034
81 7 32677
75 22 25173
6 84 21357
48 55 20854
73 39 10766
4 1 12111
26 69 485
19 53 11581
67 79 20249
65 3 19158
11 59 23682
98 90 19462
87 69 28187
48 16 349
93 80 26110
75 56 10318
37 9 11798
80 31 1917
65 36 14347
41 97 20352
82 65 21021
12 81 17042
61 34 10972
40 15 17966
2 29 30470
41 93 22419
42 64 5108
16 6 30865
48 30 1622
9 75 7222
77 94 10291
60 1 29502
78 67 2665
48 72 17988
68 27 19741
77 10 24618
37 52 20448
3 54 30009
79 87 25965
64 81 992
95 10 79
67 25 29215
34 76 25817
29 53 14080
11 3 8743
95 1 16812
77 82 14118
68 45 6139
21 27 10720
6 1 25753
14 22 18031
58 4 28940
8 15 2155
27 55 25156
42 33 11442
51 59 3705
92 53 25302
30 77 31112
63 15 23707
77 99 267
72 35 24384
71 20 5084
16 69 19860
26 83 2251
59 68 13056
32 44 22186
22 6 30476
22 87 9214
77 41 24080
48 83 28401
22 78 9990
40 73 32354
41 9 16319
37 94 29469
59 19 32741
89 18 15529
25 39 28822
46 84 30502
70 45 10615
65 97 24629
70 2 3466
98 28 12007
79 59 319
49 20 16149
85 41 24675
7 90 15040
58 63 22022
61 68 19520
1 41 4460
55 45 31342
34 23 31395
84 11 11280
86 28 20059
52 56 553
29 1 15369
25 79 20737
9 7 4738
98 65 3582
60 92 1682
91 1 7338
85 42 31799
37 30 3951
73 35 18058
6 85 16634
2 71 23424
79 16 17903
66 79 27544
95 91 17049
85 14 17039
99 40 32575
82 55 6147
84 32 32739
3 96 22202
31 53 5784
81 17 22022
94 74 30164
66 97 17654
33 54 16559
30 66 26041
0 12 23263
5 41 12220
96 52 2659
12 59 7254
1 42 19006
20 63 1301
75 48 27242
28 9 25367
40 60 22024
22 45 19129
7 85 9478
43 88 3557
65 89 9708
0 26 28074
99 26 30672
23 14 29666
98 73 13738
34 63 29719
56 27 27516
7 80 24292
18 10 25347
68 4 5501
40 22 6382
61 4 21297
46 21 11484
16 17 8443
95 55 11646
75 5 11131
18 31 4019
99 75 19956
80 11 14983
17 80 17693
95 66 11079
74 53 21226
87 18 7221
85 14 14487
11 52 7554
95 45 24217
2 16 910
7 66 23111
88 54 16041
24 38 20307
58 37 28609
14 68 32617
29 47 10951
16 94 17563
56 60 8879
51 87 17233
45 74 17494
16 8 26371
44 0 23735
13 51 18663
13 54 7215
84 21 586
41 9 27590
40 74 13410
49 17 27316
46 51 19888
69 90 22941
90 17 22856
71 95 1594
10 77 32412
30 15 17764
15 42 22693
80 56 700
67 12 369
86 1 13423
40 0 11146
46 28 26301
93 6 29869
75 11 26191
4 9 21960
53 61 8574
96 42 16963
46 60 30748
97 86 15597
68 51 11873
93 91 29497
53 19 25344
49 36 24447
55 83 4507
18 16 6532
30 7 8711
39 10 26744
91 84 6688
63 64 27682
39 99 2853
44 71 23297
73 42 5323
82 90 29049
76 60 10120
40 26 21105
63 36 23756
50 79 21487
3 84 5919
16 52 4743
80 14 30039
93 63 15561
6 65 19306
69 93 25575
55 70 6282
83 73 20808
13 19 9603
84 38 30930
98 11 26525
71 62 11777
38 59 17260
28 33 22058
87 30 10320
94 33 31869
85 61 2203
74 97 31908
67 23 15250
37 40 32529
11 59 11715
84 44 20046
85 37 14701
69 77 12030
43 30 25572
60 79 27716
42 61 24121
60 99 18635
87 64 22165
22 89 2222
3 1 13568
60 63 25314
72 44 6544
43 83 26877
19 55 4102
30 41 32765
39 38 19739
94 22 16762
47 2 24127
7 3 30524
31 51 19254
85 93 23044
37 17 22355
25 62 20742
24 12 6995
94 34 4415
47 9 21963
86 0 6112
76 81 6611
40 82 12767
77 43 25472
50 90 16128
80 58 7062
59 78 2244
27 93 26602
58 87 5745
51 73 14248
53 44 23758
7 93 20021
29 74 28292
85 47 2545
27 79 22571
35 6 31567
11 92 8029
78 52 22005
78 40 32372
68 56 10477
50 14 32433
14 71 27650
47 70 4359
67 43 8160
37 96 18879
15 80 19355
14 43 32166
59 29 23962
30 72 31827
33 67 11946
69 36 403
49 23 24277
67 82 18190
95 53 7860
28 71 498
82 52 9520
39 5 9698
53 23 942
29 42 29309
17 70 25505
58 32 30946
34 68 30619
26 92 32636
63 46 30705
81 87 6520
7 91 18245
23 89 5295
14 96 13710
75 49 23539
64 33 22657
57 48 25847
49 52 9828
77 88 2128
32 66 31914
93 73 1856
5 80 3575
46 67 22087
62 55 27479
75 32 21681
81 80 2756
15 12 14488
58 42 24926
64 53 29718
18 43 29145
73 78 919
35 0 8206
97 2 16012
5 32 16563
31 44 15093
83 39 18599
5 95 26991
77 8 16727
93 15 4816
59 98 20509
65 44 8576
95 4 15539
21 53 28670
80 69 1806
78 68 858
30 13 22326
86 51 29589
35 76 29184
72 80 7447
23 43 29613
15 1 23998
7 97 28127
57 86 25917
83 43 14432
69 75 21434
33 93 23733
80 23 21230
76 73 4717
12 42 21812
7 59 22187
66 28 847
41 88 21348
26 87 27849
54 34 6975
73 84 6200
7 98 28445
84 81 21569
10 70 6855
66 89 3467
9 66 29750
94 75 31034
99 17 15833
41 24 3990
76 9 7609
50 26 24423
86 87 8566
83 3 18528
48 56 1476
91 69 4948
20 82 1250
43 12 27293
85 76 3255
58 37 7996
55 66 2199
61 98 14231
85 5 13286
91 5 2793
86 12 525
76 42 14512
3 21 23937
84 39 11728
77 55 8904
18 58 12568
14 55 7618
71 41 12140
41 55 16035
83 65 17354
51 46 2393
93 5 20953
25 40 15707
51 24 2508
89 39 11540
9 73 25269
2 22 862
92 87 5286
82 20 6866
62 82 28211
91 33 24021
11 35 19151
12 49 24865
31 24 10684
35 55 1530
38 42 22791
87 65 9005
21 46 22700
51 35 14463
88 99 13537
38 0 11975
29 5 17881
9 44 30807
38 3 14582
6 79 20416
41 52 12944
31 50 23050
16 8 24273
88 66 11693
71 76 28009
23 92 20984
63 21 1782
26 95 17059
6 59 7287
63 97 29115
15 76 20528
21 64 13876
43 12 29875
96 48 8124
33 65 2590
46 47 22697
52 98 2726
98 20 9492
1 39 3839
89 62 14976
7 46 10325
83 6 11685
74 68 4285
15 46 7208
21 89 21617
10 57 5751
11 90 9528
94 67 12795
72 98 30399
6 59 9815
61 32 7636
15 93 30844
14 60 17860
92 56 3245
24 25 30277
51 70 5329
58 10 27060
81 48 17054
3 56 26264
91 72 32131
52 91 157
72 41 10850
54 71 25733
94 68 26483
29 76 28623
67 79 2278
47 14 8180
27 76 13087
49 56 11918
80 19 13733
61 15 18124
63 57 22038
36 31 30202
90 89 7363
55 74 7171
27 5 31929
35 38 573
12 36 28522
57 68 11746
82 35 24627
18 35 20726
13 23 7785
71 54 14232
50 75 3259
85 15 2278
17 14 31498
91 44 31233
28 80 5127
0 95 30424
55 99 6707
80 47 6071
57 11 26643
71 36 19413
40 66 21951
38 18 16473
26 62 23059
83 41 2184
55 70 2078
64 60 14107
99 49 31157
81 42 16879
45 85 24107
16 1 142
63 33 20634
40 26 11075
8 46 23372
38 32 17328
56 14 13847
89 21 4392
95 89 27600
24 85 10807
61 33 14120
61 9 12824
24 51 8580
17 39 19481
16 54 20148
43 62 8204
65 0 30359
55 75 29278
17 6 27143
71 11 5997
27 5 12975
74 58 15658
39 8 30092
23 66 30521
9 45 20043
30 63 30981
2 66 28106
72 14 18041
4 2 28763
76 73 12140
32 31 12449
15 56 29409
39 0 25117
93 52 16029
29 71 2757
49 80 13512
85 86 5434
62 82 24101
54 38 21572
49 83 4976
45 76 6179
17 22 13208
44 64 26639
15 88 17865
53 81 9897
90 8 8948
96 85 11068
28 33 29998
97 16 15066
56 76 27605
39 37 7460
5 13 24907
53 71 489
93 20 30053
92 62 1055
98 65 11232
26 17 19430
80 11 122
58 1 29841
71 35 10878
15 86 15596
96 59 2029
25 4 30517
49 93 27777
18 68 31624
52 44 27452
9 73 23208
73 82 12621
77 86 2155
52 3 16227
71 97 31800
83 73 19148
41 11 11091
32 97 25078
40 89 5101
10 83 10279
99 83 8502
87 81 10883
40 5 20440
90 74 1219
34 58 30640
49 19 22054
27 50 19099
22 10 30590
25 59 16814
28 2 2412
30 66 10553
0 51 24106
73 30 4443
31 19 1133
36 97 27678
90 88 24905
77 86 25418
45 56 25892
99 15 16241
58 7 3083
76 95 26341
73 76 5137
70 55 22169
16 88 13444
47 51 20501
34 40 14097
20 82 7949
99 42 12338
96 24 7730
22 66 18044
10 33 22111
86 44 4269
22 99 1069
50 16 8320
55 28 20363
40 29 25776
55 69 24059
4 95 14013
67 88 29564
10 27 14664
63 14 24388
83 56 12832
91 66 18655
23 37 22362
58 74 26444
70 55 10500
84 16 3883
77 15 31066
83 48 9761
12 99 17286
98 68 14576
98 5 30025
86 99 32517
79 13 27175
26 19 20831
22 75 5871
87 95 21533
49 85 23208
18 4 6426
52 95 9817
37 40 10075
35 58 16162
65 10 26173
98 43 22165
50 89 15528
75 36 9060
87 2 5036
85 81 6317
76 0 10581
63 51 25745
14 4 2974
76 73 3809
8 64 31940
14 82 30456
13 56 14698
32 35 7207
64 0 28241
8 57 7734
68 60 28304
4 76 19431
59 39 15494
93 3 29578
97 5 1802
2 69 3571
8 83 10623
91 31 22135
78 18 22740
66 49 708
51 2 16538
71 10 9120
23 63 15032
18 19 21499
39 46 20835
11 97 19935
33 2 11871
70 21 21782
3 28 19390
30 10 13734
79 99 31124
81 71 26737
28 0 26966
28 64 23194
5 91 15067
64 63 25728
91 87 20548
90 23 17261
74 82 17713
42 75 30027
57 97 6915
45 35 14332
14 0 20260
76 96 13866
91 80 29075
96 25 10665
76 24 16663
18 30 32705
9 44 8171
87 38 26105
5 14 11982
57 96 9789
17 9 21925
57 62 28528
98 56 18496
86 18 9167
87 95 31460
47 34 6315
67 39 19868
92 89 27496
65 9 18056
23 7 21316
79 48 7570
22 3 5389
20 4 9054
39 90 6698
79 17 29551
45 47 15974
72 82 11749
69 59 4417
18 94 11250
7 41 4707
84 17 22240
51 37 17566
47 89 22664
38 89 15892
34 11 13965
5 46 288
19 94 31741
73 43 32006
82 42 3368
69 52 26275
45 26 12238
0 62 26164
52 0 938
57 72 27765
40 60 29925
49 77 638
33 29 22551
8 66 5320
37 13 14727
39 47 17839
44 38 23365
75 80 8030
25 69 12946
20 77 3105
65 89 25441
74 7 7810
13 9 23971
85 79 1226
30 72 4950
89 27 15291
27 35 20370
13 3 17046
99 43 22033
42 50 18127
69 5 28634
14 38 2050
35 20 13591
82 52 9469
60 83 3400
49 23 10492
83 63 22090
28 45 7285
16 82 14311
23 22 7930
1 66 11510
98 43 14363
48 27 3115
76 17 11096
10 2 10786
59 86 16253
98 56 23387
67 22 9207
28 31 30740
1 29 32529
70 85 23875
37 57 17938
48 37 3365
41 96 23730
58 45 22298
83 92 11107
62 48 8647
95 87 29788
29 58 25521
47 40 15734
17 93 21971
23 16 14631
25 35 18653
39 32 17228
93 58 4375
68 24 22145
58 73 1574
55 32 25907
15 86 27423
67 54 19888
7 61 2223
92 28 17124
72 65 9794
76 85 2950
2 24 12392
58 27 30685
48 35 2544
7 71 29285
15 71 4722
60 26 10752
68 66 10298
46 87 5238
22 36 9426
42 5 32364
90 26 23202
29 15 6693
62 0 16217
71 23 4251
40 71 548
82 17 4319
76 31 7635
87 60 18365
64 54 22147
3 67 7695
93 53 20334
58 8 9811
55 9 20696
65 77 4006
23 36 20673
49 86 27892
79 89 29518
66 8 22737
14 64 2269
74 73 32051
43 86 13446
2 51 26708
34 8 23410
2 52 31610
86 57 32730
50 6 13960
74 23 12091
19 95 18575
84 33 9701
49 86 27852
54 38 32299
76 27 6365
44 99 3030
70 62 11283
41 25 29874
12 15 31012
11 88 15690
46 87 31408
45 44 27953
17 86 6235
82 75 12390
24 63 25952
28 85 954
24 64 745
50 4 6201
70 84 8088
56 84 15883
66 58 15108
4 67 24912
94 47 12048
10 60 973
14 90 23144
94 57 13465
36 40 28303
94 36 25352
87 46 10556
73 48 7292
3 79 29689
50 51 23786
93 8 22081
59 51 10295
79 86 9621
60 0 14009
72 70 15420
99 69 10617
52 4 2723
41 85 2836
29 99 24740
43 45 26690
65 16 8989
77 96 6001
8 14 6031
85 25 26874
30 15 21196
23 19 466
33 62 30937
30 25 8399
39 10 11150
81 69 4810
54 14 4759
87 71 13395
5 44 8933
20 81 8112
97 2 1210
77 29 7252
69 59 32451
51 71 8481
3 82 29191
3 39 19710
32 40 1429
79 0 12730
67 6 29238
49 34 15151
77 44 15757
18 22 28950
99 38 29032
59 20 23578
38 29 18228
68 65 1798
4 90 10446
19 77 31519
38 54 7982
82 96 17167
77 93 7319
4 34 488
45 11 21327
71 14 5160
55 66 19225
39 0 3783
40 55 30430
89 27 21684
66 83 31043
71 35 30031
87 43 25128
13 62 9917
35 86 18498
31 28 1329
49 66 2376
71 90 23667
11 5 114
71 12 13144
27 70 30261
76 4 10468
87 57 15751
76 10 326
16 22 12812
75 2 5372
82 70 26619
48 20 16048
91 88 10654
57 5 29886
95 21 10169
62 85 344
1 41 22845
1 99 22723
44 2 15371
93 97 28459
17 15 19394
36 93 14323
98 19 25793
75 45 13979
14 11 14561
53 15 19843
94 89 18594
59 93 20797
80 0 20145
20 44 26414
31 34 1303
2 31 27813
94 47 29302
35 59 8119
26 95 21269
35 44 5505
27 15 1201
54 67 16798
95 14 27979
10 21 244
67 74 29802
32 92 20001
21 75 9100
83 64 4148
95 5 11707
40 78 25718
20 75 18302
38 17 27238
23 41 12192
89 14 1350
9 54 24195
73 72 18617
83 31 21757
77 73 28267
69 78 17639
40 55 20672
36 26 7407
93 44 2797
78 19 11851
13 71 6421
45 7 32343
78 34 13114
87 85 12113
41 22 13354
94 44 4772
5 32 14757
67 59 15496
38 7 23921
92 36 9185
24 27 32546
60 9 19098
58 82 9392
10 78 27134
64 58 3135
28 92 31667
34 46 13213
54 44 865
19 27 27236
28 53 1588
18 96 2497
79 43 29871
51 3 14670
15 24 16536
17 77 19082
26 40 15319
26 12 15560
2 51 32421
48 40 31153
51 41 16992
16 10 24236
70 98 11223
84 89 16846
61 68 15092
82 12 24857
97 31 20233
8 64 8504
41 91 13868
61 81 15606
33 9 25444
52 33 6434
39 33 31388
31 26 26790
82 21 12940
35 24 15090
89 1 27681
36 58 780
26 94 7177
99 48 12260
25 45 3690
55 68 7874
94 67 30195
18 28 5856
46 21 28356
6 48 10644
51 89 29409
55 62 21655
58 60 298
8 73 11330
91 25 14610
50 14 12772
73 18 15500
39 30 24183
97 45 5853
12 1 25696
61 59 606
65 26 19204
18 78 85
67 35 23878
93 43 7524
98 64 96
69 54 16960
37 50 31370
35 47 25532
18 12 2404
84 15 5690
99 20 30260
57 35 18475
91 35 10818
17 49 1061
96 19 12289
83 52 26284
83 86 7622
24 16 15571
54 91 11579
34 80 22582
23 53 20177
49 56 23030
45 32 27352
36 84 22988
83 17 18962
61 72 12103
6 10 24017
88 10 4810
97 70 25605
68 49 6389
97 49 15813
0 28 1646
91 65 20273
2 11 29520
94 53 30157
20 48 31909
57 59 7837
99 2 10165
41 81 22433
64 56 28183
94 63 28819
55 71 31420
77 58 27883
97 96 16244
22 86 15768
79 96 1951
7 3 747
93 53 22528
29 63 1962
80 8 5357
90 46 19531
29 81 24412
22 36 26043
57 98 11888
65 26 13636
75 49 11926
42 78 10094
27 82 12379
48 68 17905
84 98 16499
75 57 3344
35 61 12215
63 75 12018
14 31 11516
87 12 20441
61 69 27663
69 51 23621
53 78 31814
65 66 30307
55 56 13914
8 43 10848
3 50 23686
99 33 12650
12 16 31016
41 98 6546
2 24 1876
5 58 15558
5 35 19984
62 67 7066
2 41 25149
21 94 165
91 76 19544
27 29 22408
51 70 9871
98 75 28428
63 91 31974
85 7 32724
43 93 7264
10 94 22927
7 88 8038
84 7 5820
51 80 13536
40 96 15183
26 2 11452
54 77 15586
31 69 4063
82 63 13108
2 38 17068
17 5 26149
33 61 14497
63 67 10860
16 25 25799
70 48 4286
43 23 9696
8 77 25379
97 94 16024
3 51 23199
95 15 18722
63 87 27524
95 36 21263
23 45 4360
78 18 14653
88 36 12527
77 28 17709
71 24 5737
86 57 17447
72 97 12155
66 2 9712
99 70 14975
57 34 29698
42 5 31150
71 9 29569
30 93 24745
83 18 21350
41 17 5242
85 51 13723
11 51 4235
64 44 31985
35 11 25467
63 18 25406
28 70 19685
62 49 16908
75 68 8559
40 12 32148
15 4 19636
64 45 29951
25 20 8437
82 30 3107
79 3 29322
40 25 8759
37 62 20874
32 64 26164
5 63 7722
13 25 17622
89 87 17600
90 23 30082
7 23 13415
96 72 17020
71 15 12223
84 71 24103
93 68 31038
92 95 14931
27 17 9473
25 79 14274
74 0 6193
80 26 29536
41 3 585
95 29 17389
60 91 30437
